time,speed,result
10:25,31,success
10:26,34,fail
10:27,29,success
10:28,33,success
10:29,30,fail
10:30,35,success
10:31,27,fail
10:32,32,success
10:33,36,success
10:34,28,fail
10:35,31,success
10:36,33,success
10:37,30,fail
10:38,34,success
10:39,29,success
10:40,27,fail
10:41,35,success
10:42,32,success
10:43,36,success
10:44,30,fail
10:45,31,success
10:46,33,success
10:47,28,fail
10:48,34,success
10:49,29,success
10:50,27,fail
10:51,35,success
10:52,32,success
10:53,36,success
10:54,30,fail
10:55,31,success
10:56,33,success
10:57,28,fail
10:58,34,success
10:59,29,success
11:00,27,fail
11:01,35,success
11:02,32,success
11:03,36,success
11:04,30,fail
11:05,31,success
11:06,33,success
11:07,28,fail
11:08,34,success
11:09,29,success
11:10,27,fail
11:11,35,success
11:12,32,success
11:13,36,success
11:14,30,fail
